date,value,realtime_start,realtime_end
1989-01-01,128.000,2018-12-12,2018-12-12
1989-02-01,128.600,2018-12-12,2018-12-12
1989-03-01,128.800,2018-12-12,2018-12-12
1989-04-01,129.700,2018-12-12,2018-12-12
1989-05-01,130.500,2018-12-12,2018-12-12
1989-06-01,132.000,2018-12-12,2018-12-12
1989-07-01,133.000,2018-12-12,2018-12-12
1989-08-01,133.800,2018-12-12,2018-12-12
1989-09-01,134.100,2018-12-12,2018-12-12
1989-10-01,134.800,2018-12-12,2018-12-12
1989-11-01,134.400,2018-12-12,2018-12-12
1989-12-01,133.100,2018-12-12,2018-12-12
1990-01-01,134.800,2018-12-12,2018-12-12
1990-02-01,138.200,2018-12-12,2018-12-12
1990-03-01,141.000,2018-12-12,2018-12-12
1990-04-01,144.100,2018-12-12,2018-12-12
1990-05-01,145.900,2018-12-12,2018-12-12
1990-06-01,147.900,2018-12-12,2018-12-12
1990-07-01,148.800,2018-12-12,2018-12-12
1990-08-01,149.900,2018-12-12,2018-12-12
1990-09-01,152.800,2018-12-12,2018-12-12
1990-10-01,156.600,2018-12-12,2018-12-12
1990-11-01,159.300,2018-12-12,2018-12-12
1990-12-01,162.800,2018-12-12,2018-12-12
1991-01-01,163.200,2018-12-12,2018-12-12
1991-02-01,164.500,2018-12-12,2018-12-12
1991-03-01,159.400,2018-12-12,2018-12-12
1991-04-01,151.900,2018-12-12,2018-12-12
1991-05-01,151.600,2018-12-12,2018-12-12
1991-06-01,153.900,2018-12-12,2018-12-12
1991-07-01,153.800,2018-12-12,2018-12-12
1991-08-01,155.800,2018-12-12,2018-12-12
1991-09-01,153.300,2018-12-12,2018-12-12
1991-10-01,150.200,2018-12-12,2018-12-12
1991-11-01,150.600,2018-12-12,2018-12-12
1991-12-01,153.100,2018-12-12,2018-12-12
1992-01-01,156.000,2018-12-12,2018-12-12
1992-02-01,154.700,2018-12-12,2018-12-12
1992-03-01,158.800,2018-12-12,2018-12-12
1992-04-01,160.700,2018-12-12,2018-12-12
1992-05-01,155.500,2018-12-12,2018-12-12
1992-06-01,145.400,2018-12-12,2018-12-12
1992-07-01,150.100,2018-12-12,2018-12-12
1992-08-01,147.800,2018-12-12,2018-12-12
1992-09-01,146.100,2018-12-12,2018-12-12
1992-10-01,157.600,2018-12-12,2018-12-12
1992-11-01,164.500,2018-12-12,2018-12-12
1992-12-01,165.700,2018-12-12,2018-12-12
1993-01-01,170.700,2018-12-12,2018-12-12
1993-02-01,174.400,2018-12-12,2018-12-12
1993-03-01,173.400,2018-12-12,2018-12-12
1993-04-01,172.100,2018-12-12,2018-12-12
1993-05-01,176.300,2018-12-12,2018-12-12
1993-06-01,174.700,2018-12-12,2018-12-12
1993-07-01,179.600,2018-12-12,2018-12-12
1993-08-01,179.800,2018-12-12,2018-12-12
1993-09-01,180.800,2018-12-12,2018-12-12
1993-10-01,180.800,2018-12-12,2018-12-12
1993-11-01,188.300,2018-12-12,2018-12-12
1993-12-01,193.800,2018-12-12,2018-12-12
1994-01-01,191.500,2018-12-12,2018-12-12
1994-02-01,191.800,2018-12-12,2018-12-12
1994-03-01,195.500,2018-12-12,2018-12-12
1994-04-01,192.300,2018-12-12,2018-12-12
1994-05-01,182.100,2018-12-12,2018-12-12
1994-06-01,182.300,2018-12-12,2018-12-12
1994-07-01,184.700,2018-12-12,2018-12-12
1994-08-01,187.400,2018-12-12,2018-12-12
1994-09-01,185.200,2018-12-12,2018-12-12
1994-10-01,179.900,2018-12-12,2018-12-12
1994-11-01,177.800,2018-12-12,2018-12-12
1994-12-01,175.300,2018-12-12,2018-12-12
1995-01-01,179.500,2018-12-12,2018-12-12
1995-02-01,181.400,2018-12-12,2018-12-12
1995-03-01,188.500,2018-12-12,2018-12-12
1995-04-01,191.200,2018-12-12,2018-12-12
1995-05-01,191.200,2018-12-12,2018-12-12
1995-06-01,200.400,2018-12-12,2018-12-12
1995-07-01,199.200,2018-12-12,2018-12-12
1995-08-01,191.600,2018-12-12,2018-12-12
1995-09-01,189.700,2018-12-12,2018-12-12
1995-10-01,193.700,2018-12-12,2018-12-12
1995-11-01,191.500,2018-12-12,2018-12-12
1995-12-01,178.400,2018-12-12,2018-12-12
1996-01-01,179.400,2018-12-12,2018-12-12
1996-02-01,188.400,2018-12-12,2018-12-12
1996-03-01,187.900,2018-12-12,2018-12-12
1996-04-01,187.700,2018-12-12,2018-12-12
1996-05-01,189.200,2018-12-12,2018-12-12
1996-06-01,192.100,2018-12-12,2018-12-12
1996-07-01,192.900,2018-12-12,2018-12-12
1996-08-01,190.900,2018-12-12,2018-12-12
1996-09-01,196.000,2018-12-12,2018-12-12
1996-10-01,200.100,2018-12-12,2018-12-12
1996-11-01,200.100,2018-12-12,2018-12-12
1996-12-01,204.700,2018-12-12,2018-12-12
1997-01-01,198.100,2018-12-12,2018-12-12
1997-02-01,192.900,2018-12-12,2018-12-12
1997-03-01,201.600,2018-12-12,2018-12-12
1997-04-01,204.100,2018-12-12,2018-12-12
1997-05-01,201.500,2018-12-12,2018-12-12
1997-06-01,199.100,2018-12-12,2018-12-12
1997-07-01,203.600,2018-12-12,2018-12-12
1997-08-01,194.000,2018-12-12,2018-12-12
1997-09-01,198.000,2018-12-12,2018-12-12
1997-10-01,205.500,2018-12-12,2018-12-12
1997-11-01,197.500,2018-12-12,2018-12-12
1997-12-01,194.800,2018-12-12,2018-12-12
1998-01-01,200.100,2018-12-12,2018-12-12
1998-02-01,206.600,2018-12-12,2018-12-12
1998-03-01,210.700,2018-12-12,2018-12-12
1998-04-01,210.100,2018-12-12,2018-12-12
1998-05-01,205.000,2018-12-12,2018-12-12
1998-06-01,200.900,2018-12-12,2018-12-12
1998-07-01,207.300,2018-12-12,2018-12-12
1998-08-01,207.800,2018-12-12,2018-12-12
1998-09-01,206.000,2018-12-12,2018-12-12
1998-10-01,205.200,2018-12-12,2018-12-12
1998-11-01,200.800,2018-12-12,2018-12-12
1998-12-01,202.800,2018-12-12,2018-12-12
1999-01-01,206.400,2018-12-12,2018-12-12
1999-02-01,211.400,2018-12-12,2018-12-12
1999-03-01,221.300,2018-12-12,2018-12-12
1999-04-01,225.800,2018-12-12,2018-12-12
1999-05-01,220.200,2018-12-12,2018-12-12
1999-06-01,209.700,2018-12-12,2018-12-12
1999-07-01,223.300,2018-12-12,2018-12-12
1999-08-01,217.200,2018-12-12,2018-12-12
1999-09-01,213.600,2018-12-12,2018-12-12
1999-10-01,224.900,2018-12-12,2018-12-12
1999-11-01,226.400,2018-12-12,2018-12-12
1999-12-01,224.900,2018-12-12,2018-12-12
2000-01-01,221.800,2018-12-12,2018-12-12
2000-02-01,230.200,2018-12-12,2018-12-12
2000-03-01,240.700,2018-12-12,2018-12-12
2000-04-01,239.500,2018-12-12,2018-12-12
2000-05-01,241.300,2018-12-12,2018-12-12
2000-06-01,245.000,2018-12-12,2018-12-12
2000-07-01,246.800,2018-12-12,2018-12-12
2000-08-01,250.400,2018-12-12,2018-12-12
2000-09-01,244.900,2018-12-12,2018-12-12
2000-10-01,236.300,2018-12-12,2018-12-12
2000-11-01,238.000,2018-12-12,2018-12-12
2000-12-01,238.200,2018-12-12,2018-12-12
2001-01-01,239.000,2018-12-12,2018-12-12
2001-02-01,242.000,2018-12-12,2018-12-12
2001-03-01,238.600,2018-12-12,2018-12-12
2001-04-01,235.500,2018-12-12,2018-12-12
2001-05-01,237.500,2018-12-12,2018-12-12
2001-06-01,249.300,2018-12-12,2018-12-12
2001-07-01,248.800,2018-12-12,2018-12-12
2001-08-01,244.300,2018-12-12,2018-12-12
2001-09-01,242.500,2018-12-12,2018-12-12
2001-10-01,236.400,2018-12-12,2018-12-12
2001-11-01,230.000,2018-12-12,2018-12-12
2001-12-01,229.000,2018-12-12,2018-12-12
2002-01-01,236.700,2018-12-12,2018-12-12
2002-02-01,235.300,2018-12-12,2018-12-12
2002-03-01,233.300,2018-12-12,2018-12-12
2002-04-01,234.500,2018-12-12,2018-12-12
2002-05-01,237.700,2018-12-12,2018-12-12
2002-06-01,231.300,2018-12-12,2018-12-12
2002-07-01,227.500,2018-12-12,2018-12-12
2002-08-01,230.200,2018-12-12,2018-12-12
2002-09-01,228.700,2018-12-12,2018-12-12
2002-10-01,225.700,2018-12-12,2018-12-12
2002-11-01,227.800,2018-12-12,2018-12-12
2002-12-01,230.000,2018-12-12,2018-12-12
2003-01-01,228.700,2018-12-12,2018-12-12
2003-02-01,228.500,2018-12-12,2018-12-12
2003-03-01,230.700,2018-12-12,2018-12-12
2003-04-01,229.400,2018-12-12,2018-12-12
2003-05-01,230.000,2018-12-12,2018-12-12
2003-06-01,231.300,2018-12-12,2018-12-12
2003-07-01,232.600,2018-12-12,2018-12-12
2003-08-01,233.400,2018-12-12,2018-12-12
2003-09-01,233.200,2018-12-12,2018-12-12
2003-10-01,234.300,2018-12-12,2018-12-12
